Horizontal
i:15, j:10, left:8, right:8
i:15, j:20, left:7, right:5
i:15, j:22, left:6, right:4
i:15, j:23, left:3, right:1
i:15, j:28, left:1, right:0
i:15, j:30, left:0, right:0
i:15, j:31, left:0, right:1
i:15, j:36, left:0, right:0
i:15, j:42, left:1, right:1
i:15, j:45, left:8, right:5
i:15, j:53, left:8, right:8
i:15, j:57, left:8, right:8
i:15, j:60, left:8, right:8
i:15, j:67, left:8, right:8
i:15, j:68, left:8, right:8
i:15, j:71, left:8, right:8
i:15, j:72, left:8, right:8
i:15, j:73, left:8, right:8
i:15, j:74, left:8, right:8
i:15, j:75, left:8, right:8
i:15, j:76, left:8, right:8
i:15, j:77, left:8, right:8
i:15, j:78, left:8, right:8
i:15, j:79, left:8, right:8
i:15, j:84, left:8, right:8
i:15, j:88, left:8, right:8
i:15, j:91, left:8, right:8
i:15, j:96, left:8, right:8
i:15, j:97, left:8, right:8
i:15, j:99, left:8, right:8
i:15, j:101, left:8, right:8
i:15, j:113, left:8, right:8
i:15, j:118, left:7, right:7
i:16, j:1, left:8, right:8
i:16, j:2, left:8, right:8
i:16, j:4, left:8, right:8
i:16, j:13, left:8, right:8
i:16, j:16, left:8, right:7
i:16, j:17, left:8, right:5
i:16, j:21, left:5, right:4
i:16, j:29, left:0, right:1
i:16, j:32, left:1, right:1
i:16, j:35, left:0, right:1
i:16, j:37, left:0, right:0
i:16, j:43, left:1, right:1
i:16, j:44, left:2, right:1
i:16, j:46, left:8, right:7
i:16, j:47, left:8, right:8
i:16, j:52, left:8, right:8
i:16, j:54, left:8, right:8
i:16, j:55, left:8, right:8
i:16, j:56, left:8, right:8
i:16, j:61, left:8, right:8
i:16, j:62, left:8, right:8
i:16, j:63, left:8, right:8
i:16, j:64, left:8, right:8
i:16, j:69, left:8, right:8
i:16, j:70, left:8, right:8
i:16, j:87, left:8, right:8
i:16, j:92, left:8, right:8
i:16, j:93, left:8, right:8
i:16, j:94, left:8, right:8
i:16, j:95, left:8, right:8
i:16, j:98, left:8, right:8
i:16, j:100, left:8, right:8
i:16, j:102, left:8, right:8
i:16, j:103, left:8, right:8
i:16, j:104, left:8, right:8
i:16, j:105, left:8, right:8
i:16, j:106, left:8, right:8
i:16, j:114, left:8, right:8
i:16, j:117, left:7, right:7
i:16, j:119, left:7, right:7
i:17, j:0, left:8, right:8
i:17, j:3, left:8, right:8
i:17, j:7, left:8, right:8
i:17, j:8, left:8, right:8
i:17, j:9, left:8, right:8
i:17, j:10, left:8, right:8
i:17, j:11, left:8, right:8
i:17, j:12, left:8, right:8
i:17, j:14, left:8, right:7
i:17, j:15, left:8, right:6
i:17, j:18, left:4, right:3
i:17, j:19, left:4, right:4
i:17, j:20, left:5, right:5
i:17, j:24, left:0, right:0
i:17, j:27, left:0, right:1
i:17, j:28, left:1, right:1
i:17, j:30, left:1, right:1
i:17, j:31, left:1, right:1
i:17, j:36, left:0, right:0
i:17, j:38, left:0, right:0
i:17, j:45, left:3, right:1
i:17, j:48, left:8, right:8
i:17, j:51, left:8, right:8
i:17, j:53, left:8, right:8
i:17, j:57, left:8, right:8
i:17, j:58, left:8, right:8
i:17, j:59, left:8, right:8
i:17, j:60, left:8, right:8
i:17, j:65, left:8, right:8
i:17, j:66, left:8, right:8
i:17, j:71, left:8, right:8
